exhid,exhname,url,description,product_categories,booths,websiteValue,instagramValue,facebookValue,twitterValue,linkedInValue,phoneValue,faxValue,hasAddressData,hasWebsiteData,hasTwitter,hasLinkedIn,hasFacebook,hasInstagram,hasEmail,hasPhone,hasFax
10722,Mike's Hot Honey,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10722,,,North Concourse - Level 2 — NC9221 — Street Market,,,,,,,,false,false,false,false,false,false,false,false,false
10047,Craft Standard Enterprises Inc.,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10047,,,North Concourse - Level 2 — NC9222 — Street Market,,,,,,,,false,false,false,false,false,false,false,false,false
10720,Red Bull Energy Drink,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10720,"Since 1987, Red Bull has grown from a single product in Austria to a global brand, selling over 100 billion cans and counting. Known for bold marketing and empowerment of athletes, artists and players, Red Bull Energy Drink is available in more than 175 countries and has become a symbol of energy, adventure and innovation worldwide. Discover how Red Bull gives wiiings to people and ideas at IAAPA.",Food & Beverages > Beverages,North Concourse - Level 2 — NC9223 — Street Market,,https://www.instagram.com/redbull/,https://www.facebook.com/RedBull/,https://x.com/redbull,,,,false,false,true,false,true,true,false,false,false
1143,State Fair Mini Donuts,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1143,"39 years of providing hot, fresh and delicious mini donuts without the need of hot oil frying. New this year, is our grab and go churrito program!",Food & Beverages > Entrees/Hot/Cold | Food & Beverages > Food Preparation Equipment | Food & Beverages > Foodservice Supplies,North Concourse - Level 2 — NC9224 — Street Market,,,,,,,,false,false,false,false,false,false,false,false,false
10703,Unilever Ice Cream,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10703,,,North Concourse - Level 2 — NC9225 — Street Market,,,,,,,,false,false,false,false,false,false,false,false,false
5929,RoxiSpice,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=5929,"Audiences gasp with pleasure, that’s Drink Entertainment. RoxiSpice delivers connection across themes to beverage and concessions. Drinks are stories that captivate then explode with satisfaction.  Cyclones capture attention; lights, colors, and spinning action.  Drinkware Rimming is crafting personalization with more colors and aromas, then BANG!  Roxi-Ice Dry Ice on Demand. Experience Drink Entertainment!",Food & Beverages > Alcohol | Food & Beverages > Beverage Preparation Equipment | Food & Beverages > Beverages,North Concourse - Level 2 — NC9226 — Street Market,,https://www.instagram.com/roxispice/,https://www.facebook.com/RoxiSpiceDrinkwareRimSystem,,,,,false,false,false,false,true,true,false,false,false
10718,J.T.M. Food Group,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10718,"J.T.M. Food Group is a forward-thinking food-processing company still rooted in the same principles of the original butcher shop. For four generations, the food professionals at J.T.M. have provided on-trend products and solutions, including sauces, soups, sides, dips, pastas, scrambles, and taco fillings, with the same commitment to integrity and quality we’ve had since the butcher shop days.",Food & Beverages > Entrees/Hot/Cold | Food & Beverages > Foodservice Supplies | Food & Beverages > Ice Cream/Candy/Sweets | Food & Beverages > Popcorn/Pretzels/Snack Food,North Concourse - Level 2 — NC9227 — Street Market | North Concourse - Level 2 — NC9228 — Street Market,,,https://www.facebook.com/JTMfoodgroup,,https://www.linkedin.com/company/jtm-food-group/?viewAsMember=tru,,,false,false,false,true,true,false,false,false,false
10718,J.T.M. Food Group,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10718,"J.T.M. Food Group is a forward-thinking food-processing company still rooted in the same principles of the original butcher shop. For four generations, the food professionals at J.T.M. have provided on-trend products and solutions, including sauces, soups, sides, dips, pastas, scrambles, and taco fillings, with the same commitment to integrity and quality we’ve had since the butcher shop days.",Food & Beverages > Entrees/Hot/Cold | Food & Beverages > Foodservice Supplies | Food & Beverages > Ice Cream/Candy/Sweets | Food & Beverages > Popcorn/Pretzels/Snack Food,North Concourse - Level 2 — NC9227 — Street Market | North Concourse - Level 2 — NC9228 — Street Market,,,https://www.facebook.com/JTMfoodgroup,,https://www.linkedin.com/company/jtm-food-group/?viewAsMember=tru,,,false,false,false,true,true,false,false,false,false
8523,Verse immersive,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8523,"Enklu is the leader in location-based augmented reality, powering the future of immersive entertainment.   As the software and content creation team behind Verse Immersive, which is currently in over 25 cities across 5 countries, Enklu delivers blockbuster AR attractions that blend storytelling and technology into high-throughput, revenue-driving experiences.  Find Verse at premium LBE partners such as Ripley's Entertainment, Main Event, COSI, Mary Pickford Theatre, and many more.",Hi-Tech Equipment & Services > Virtual Reality,North Concourse - Level 2 — NC9229 — Haunting Grounds | North Concourse - Level 2 — NC9230 — Haunting Grounds,,https://www.instagram.com/verse_immersive/,,,,,,false,false,false,false,false,true,false,false,false
8523,Verse immersive,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8523,"Enklu is the leader in location-based augmented reality, powering the future of immersive entertainment.   As the software and content creation team behind Verse Immersive, which is currently in over 25 cities across 5 countries, Enklu delivers blockbuster AR attractions that blend storytelling and technology into high-throughput, revenue-driving experiences.  Find Verse at premium LBE partners such as Ripley's Entertainment, Main Event, COSI, Mary Pickford Theatre, and many more.",Hi-Tech Equipment & Services > Virtual Reality,North Concourse - Level 2 — NC9229 — Haunting Grounds | North Concourse - Level 2 — NC9230 — Haunting Grounds,,https://www.instagram.com/verse_immersive/,,,,,,false,false,false,false,false,true,false,false,false
10716,Graffiti+,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10716,,,North Concourse - Level 2 — NC9232 — Haunting Grounds,,,,,,,,false,false,false,false,false,false,false,false,false
10695,Nethercraft Panels,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10695,,,North Concourse - Level 2 — NC9233 — Haunting Grounds,,,,,,,,false,false,false,false,false,false,false,false,false
10392,"Iron, Wood & Glitter",https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10392,"We’re a passionate team of designers, fabricators, and creative problem-solvers who aim to entertain.  From mirror mazes to photo-ops, from conceptual design to execution, from tree wraps to uplighting, from overlays to brand new, we bring bold concepts to life with our in-house fabrication team.    Our specialty?  Taking existing tools, tech, and materials, mixed with imagination, to push the boundaries beyond familiar.  We rework, rewire, and reinvent until they do things you didn’t think were",Displays & Sets > Scenery & Sets | Displays & Sets > Signs | Shows/Productions > Animated,North Concourse - Level 2 — NC9236 — Haunting Grounds,,,,,,,,false,false,false,false,false,false,false,false,false
10697,Plague Productions,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10697,,,North Concourse - Level 2 — NC9238 — Haunting Grounds,,,,,,,,false,false,false,false,false,false,false,false,false
10694,The Juice Shop,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10694,,,North Concourse - Level 2 — NC9242 — Haunting Grounds,,,,,,,,false,false,false,false,false,false,false,false,false
8561,Dogwood Entertainment,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8561,"Dogwood Entertainment creates custom props, themed environments, and immersive experiences for attractions, events, and entertainment venues. From large-scale sculptures and interactive photo ops to seasonal décor and specialty builds, we bring concepts to life through expert design, fabrication, and installation. Our clients include major theme parks, zoos, family entertainment centers, and festivals nationwide.",Displays & Sets > Amusement Buildings/Fronts | Displays & Sets > Scenery & Sets | Displays & Sets > Still Figures | Theatrical Equipment & Supplies > Haunt Supplies,North Concourse - Level 2 — NC9243 — Haunting Grounds,,https://www.instagram.com/dogwood_entertainment/,https://www.facebook.com/DogwoodEntertainment,,https://www.linkedin.com/company/dogwood-artisans/,,,false,false,false,true,true,true,false,false,false
10743,Licensing International,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10743,,,North Concourse - Level 2 — NC9249,,,,,,,,false,false,false,false,false,false,false,false,false
9003,Digital Signage Federation,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=9003,,,North Concourse - Level 2 — NC9250 — Digital Signage Federation,,,,,,,,false,false,false,false,false,false,false,false,false
