exhid,exhname,url,description,product_categories,booths,websiteValue,instagramValue,facebookValue,twitterValue,linkedInValue,phoneValue,faxValue,hasAddressData,hasWebsiteData,hasTwitter,hasLinkedIn,hasFacebook,hasInstagram,hasEmail,hasPhone,hasFax
8109,Themics Philippines Inc.,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8109,"Themics Philippines Inc. is an experienced theming supplier that guides you from concept design to production, and installation. The production facility is located at the heart of the Philippines, and attracts talented artists to produce high-quality, durable thematic elements for theme parks, FECs, museums, resorts, and other leisure businesses. Specializing in theming and design, Themics is fully committed to bringing quality products to our clients that meet the high standards of the industry",Displays & Sets > Amusement Buildings/Fronts | Displays & Sets > Scenery & Sets | Displays & Sets > Signs | Displays & Sets > Still Figures,North/South Building - Level 1 — 1875 — Show Production & Design,,https://www.instagram.com/themicsphilippines/,https://www.facebook.com/ThemicsPhils,,https://www.linkedin.com/company/themics/,,,false,false,false,true,true,true,false,false,false
4265,"Richco International, Inc.",https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=4265,,Construction > Amusement Facilities | Construction > Surfacing Materials | Facility & Grounds > Carpet/Flooring,North/South Building - Level 1 — 1878 — Show Production & Design,,,,,,,,false,false,false,false,false,false,false,false,false
8218,MI CONCEPT + DESIGN INC.,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=8218,"MI Concept is dedicated to creating and developing new and innovative solutions in the themed entertainment and leisure industry. We design imaginative and thoughtful experiences that engage and immerse guests in brilliant worlds and stories, providing a compelling guest experience across attractions, theme parks, water parks, FECs and beyond. Our services offer a wide range of planning, visioning, concept, schematic, and detailed design, as well as multimedia, content creation, and branding.",Consultants > Architecture and Design | Consultants > Entertainment/Theatrical Agents | Consultants > Management/Planning,North/South Building - Level 1 — 1883 — Show Production & Design,,,,,https://www.linkedin.com/company/10852095/admin/dashboard/,,,false,false,false,true,false,false,false,false,false
7958,PGK DESIGN S.R.L. Unipersonale,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=7958,,,North/South Building - Level 1 — 1886 — Show Production & Design,,,,,,,,false,false,false,false,false,false,false,false,false
4322,ANKAM WATER PARK EQUIPMENTS,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=4322,,"Construction > Waterparks | Water Related Equipment & Supplies > Swimming Pool/Beach Resort | Water Related Equipment & Supplies > Wet Rides (Slides, Tubes)",North/South Building - Level 1 — 1888 — Show Production & Design,,,,,,,,false,false,false,false,false,false,false,false,false
10740,Weatherstem,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10740,"Weatherstem delivers innovative, reliable weather intelligence built around you. From custom sensor networks to industry-leading maintenance and support, our solutions elevate safety, efficiency, and guest experience while helping attractions of every size operate smarter, respond faster, and keep people protected.",Computer Systems/Software > Web-Based Services | Consultants > Safety/Medical | Consultants > Security | Security Equipment > Communication Systems,North/South Building - Level 1 — 1890 — Show Production & Design,,https://www.instagram.com/weatherstem/?hl=en,https://www.facebook.com/WeatherSTEM/,https://x.com/weatherstem?lang=en,https://www.linkedin.com/company/weatherstem/posts/?feedView=all,,,false,false,true,true,true,true,false,false,false
772,Hot Games,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=772,,Games & Devices > Arcade & Video,North/South Building - Level 1 — 1917 — Games & Arcade,,,,,,,,false,false,false,false,false,false,false,false,false
2119,AVS Companies,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=2119,,Food & Beverages > Vending Machines | Games & Devices > Arcade & Video | Games & Devices > Midway & Skill,North/South Building - Level 1 — 1918 — Games & Arcade,,,,,,,,false,false,false,false,false,false,false,false,false
2901,CHAIRKIT GmbH,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=2901,,"Water Related Equipment & Supplies > Wet Rides (Slides, Tubes)",North/South Building - Level 1 — 1949 — Waterpark,,,,,,,,false,false,false,false,false,false,false,false,false
10571,Bravo Amusement,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10571,"Guangzhou Bravo Amusement, headquartered in Guangzhou, is committed to offering fun and profits through developing & manufacturing & selling prizes, crane games, and redemption games. Relying on strong R&D capability, satisfactory services, innovative concept, and practical attitude, Bravo Amusement strives to create awesome entertainment products & services that meet the global market trend. Brilliant games with Reliable quality, Appealing design,   that is what Bravo Amusement is all about！",Coin-Operated Machines (Non-Game) > Coin-Operated Machines (Non-Game) | Construction > Amusement Facilities | Construction > Family Entertainment | Games & Devices > Redemption Prizes,North/South Building - Level 1 — 1950 — Waterpark,,https://www.instagram.com/bravoamusement/,https://www.facebook.com/bravoamusement,https://x.com/Bravoamusement,https://www.linkedin.com/company/guangzhou-bravo-amusement-technology-co-ltd/posts/?feedView=all,,,false,false,true,true,true,true,false,false,false
955,thejuice,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=955,"thejuice is a UK-based creative studio specialising in media-led experiences for attractions, leisure, and retail. With 250+ films in 3D/4D/5D, attraction. ride, VR, flying theatre, dome, large format/imax, 120º/180º/360º we offer ready-to-license content worldwide. We also craft bespoke productions using CGI, real-time engines, and live action.  New for 2025 are our new immersive experiences Digital Zoo Walkthroughs and Digital Aquariums, see them all at www.thejuice.com",Hi-Tech Equipment & Services > Film/Music Production | Hi-Tech Equipment & Services > Simulation | Hi-Tech Equipment & Services > Virtual Reality | Rides (Dry) > Dark,North/South Building - Level 1 — 1964 — Show Production & Design,,,https://www.facebook.com/thejuicefilms,https://x.com/thejuicefilms,https://www.linkedin.com/company/the-juice-films-ltd/,,,false,false,true,true,true,false,false,false,false
10610,"Guangzhou Yuxinlong Sports Equipment Co., LTD.",https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10610,,,North/South Building - Level 1 — 1965 — Show Production & Design,,,,,,,,false,false,false,false,false,false,false,false,false
