Business Name,Address,Phone Number,posting date,Website,GMB Listing URL,Completed?,,Additional notes,Iframe url
Prospect Heights Plumbing Brooklyn,"735 Atlantic Avenue, Brooklyn, NY 11238",(347) 929-2944,,prospectheightsplumbingbrooklyn.com,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1!2d0!3d0x883748ef52af604c!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25ba564414de7!2s0!3m2!1sen!2s,Completed and live,"Images OK, Listing OK, SSL OK","Images OK, Listing OK, SSL OK",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3025.6066747112923!2d-73.97298192383589!3d40.68263457139806!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25ba564414de7%3A0x883748ef52af604c!2sProspect%20Heights%20Plumbing%20Brooklyn!5e0!3m2!1sen!2s!4v1771763929431!5m2!1sen!2s
Superior Plumbing & Drain San Juan Capistrano,"32031 Camino Capistrano, San Juan Capistrano, CA 92675, USA",(949) 594-5436,,superiorplumbingdrainsanjuancapistrano.com,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1!2d0!3d0x96d1896b85d89d1d!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80dcf1fe96ed5723!2s0!3m2!1sen!2s,Completed and live,"Images OK, Listing OK, SSL OK","Images OK, Listing OK, SSL OK",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3327.140027368587!2d-117.66351709999999!3d33.4977338!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80dcf1fe96ed5723%3A0x96d1896b85d89d1d!2sSuperior%20Plumbing%20%26%20Drain%20San%20Juan%20Capistrano!5e0!3m2!1sen!2s!4v1771763958936!5m2!1sen!2s
